uri,id,name,owner,total
spotify:playlist:3yRd1czwUfrufLyU6rC8lg,3yRd1czwUfrufLyU6rC8lg,SHE'S NOT W JIM TONIGHT,sara,31
spotify:playlist:567JFhzeYWJScBj87F7fss,567JFhzeYWJScBj87F7fss,Gus Dapperton Setlist 2023,tatianaavar,18
spotify:playlist:37i9dQZF1Fa1IIVtEpGUcU,37i9dQZF1Fa1IIVtEpGUcU,Your Top Songs 2023,Spotify,101
spotify:playlist:37i9dQZF1DX2UQ1I1FrJsu,37i9dQZF1DX2UQ1I1FrJsu,Wine Bar,Spotify,100
spotify:playlist:37i9dQZF1DX2yvmlOdMYzV,37i9dQZF1DX2yvmlOdMYzV,Lowkey,Spotify,150
spotify:playlist:37i9dQZF1DWU4DdJqbjPl5,37i9dQZF1DWU4DdJqbjPl5,Tantalizers,Spotify,85
spotify:playlist:0DsyxUdds3OkBwaA07qTqz,0DsyxUdds3OkBwaA07qTqz,8D frequencies,Cierra Maryé,76
spotify:playlist:6cZTNaBtcZgJL7jVbx1HpH,6cZTNaBtcZgJL7jVbx1HpH,🧿 modern soul spiritual early hours (combo),sanapatel,526
spotify:playlist:1c8cwsshkZCWHlk1kIZIiX,1c8cwsshkZCWHlk1kIZIiX,main character,saving connie,119
spotify:playlist:37i9dQZF1DX1dvMSwf27JO,37i9dQZF1DX1dvMSwf27JO,'fit check,Spotify,100
spotify:playlist:78vKVJDJdgx5G9FvNNpw5a,78vKVJDJdgx5G9FvNNpw5a,sunset blvd,oluchi ezekwenna,67
spotify:playlist:1rOWw6SuIiVL6I6639NMYv,1rOWw6SuIiVL6I6639NMYv,aplasticplaylist,aplasticplant,610
spotify:playlist:69MfZ3CZ5w8kBRpkUIF58R,69MfZ3CZ5w8kBRpkUIF58R,far too many feelings ,sanapatel,160
spotify:playlist:37i9dQZF1EJy0SqncFnDhZ,37i9dQZF1EJy0SqncFnDhZ,oluchi + Jordan,Spotify,50
spotify:playlist:7FlFZjWCrVysnUiE2tCIyu,7FlFZjWCrVysnUiE2tCIyu,Haverdisco 2k23,Trisha Phan,125
spotify:playlist:2qlFXygy56hDnjxWMV6Ttu,2qlFXygy56hDnjxWMV6Ttu,Spotalike: Earl Sweatshirt - Riot!,Jordan Shand,50
spotify:playlist:4i5Zde9p3AuUNBUWgm8hHt,4i5Zde9p3AuUNBUWgm8hHt,Neurological Optimization ,August Williams,84
spotify:playlist:7yPnmOjFQhTAnt1S0XkQoR,7yPnmOjFQhTAnt1S0XkQoR,Hoppers Croak-Box #1,Rasaaq Shittu,106
spotify:playlist:7rGrOwS80nSaYVkLgeMsyD,7rGrOwS80nSaYVkLgeMsyD,kuchis 🌹,julgi0,75
spotify:playlist:5w8PDTYsJ9zavAa2G54SUZ,5w8PDTYsJ9zavAa2G54SUZ,lonely stoner vibes 🌕,laineyspice ☼,99
spotify:playlist:3N7lFGA4fIyQxeRt7yBv1S,3N7lFGA4fIyQxeRt7yBv1S,The Boondocks ,Johannes Hessler Ibsen,305
spotify:playlist:50tYI2X1tTNEnh1gZr3WCA,50tYI2X1tTNEnh1gZr3WCA,mcdonald’s sprite,Brandon Jenkins,71
spotify:playlist:37i9dQZF1EP6YuccBxUcC1,37i9dQZF1EP6YuccBxUcC1,daylist • carefree sensational monday night,Spotify,50
spotify:playlist:2DKooo7N9OI47udPDGG4aI,2DKooo7N9OI47udPDGG4aI,mr.put.it.on,Jordan Shand,28
spotify:playlist:69zCRFsW0SUJW2sy7p4Z1y,69zCRFsW0SUJW2sy7p4Z1y,pos.beats,Jordan Shand,55
spotify:playlist:2GroQzcb2r6tWnzvSXu7uc,2GroQzcb2r6tWnzvSXu7uc,nature valley granola mix ,Jordan Shand,46
spotify:playlist:0Zoext3bLexDl7qxXoHEie,0Zoext3bLexDl7qxXoHEie,♋️🎐,Jordan Shand,80
spotify:playlist:2lgwrtfrLxZRQENu17xS9D,2lgwrtfrLxZRQENu17xS9D,uk.drill,Jordan Shand,18
spotify:playlist:5EM3v2P5yKX9rsBQMbZwZ9,5EM3v2P5yKX9rsBQMbZwZ9,thebe,Jordan Shand,16
spotify:playlist:0KSA5as2WWknxUpYxrFvRU,0KSA5as2WWknxUpYxrFvRU,idk,Jordan Shand,24
spotify:playlist:44oPsVX7Mr5v1PyRfFMl83,44oPsVX7Mr5v1PyRfFMl83,buffbaby,Jordan Shand,9
spotify:playlist:6IY90DFt9LIx4tieP39Dk2,6IY90DFt9LIx4tieP39Dk2,clifford,Jordan Shand,19
spotify:playlist:4vNtUIH3TrQ8hIC4fHX26L,4vNtUIH3TrQ8hIC4fHX26L,fkngoblin,Jordan Shand,90
spotify:playlist:3jz3wbSZM8WlPOLRoI3ce0,3jz3wbSZM8WlPOLRoI3ce0,easymac,Jordan Shand,63
spotify:playlist:2cLu3Bq8pOzc0MK9IFs6cv,2cLu3Bq8pOzc0MK9IFs6cv,kota,Jordan Shand,22
spotify:playlist:7qRw0js0OM8CgO8qA4Cl4c,7qRw0js0OM8CgO8qA4Cl4c,kuchis,Jordan Shand,15
spotify:playlist:6cxkW5gglbXURVdfQ7SiUs,6cxkW5gglbXURVdfQ7SiUs,chano,Jordan Shand,53
