uri,id,name,popularity
spotify:track:3nY8AqaMNNHHLYV4380ol0,3nY8AqaMNNHHLYV4380ol0,Dick (feat. Doja Cat),68
spotify:track:1qk8eEUJaGK2xWHhq8QZD5,1qk8eEUJaGK2xWHhq8QZD5,3am in nyc,42
spotify:track:0LohatbcUXRauoeMlR1jnS,0LohatbcUXRauoeMlR1jnS,Pound The Alarm,63
spotify:track:454h9zAIuTe1eJyw9iTnj4,454h9zAIuTe1eJyw9iTnj4,Man Down,61
spotify:track:5lAnYvAIkSDNXqfo7DyFUm,5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,78
spotify:track:5XFoaqV1Z8XaLJidchVWhh,5XFoaqV1Z8XaLJidchVWhh,love.,64
spotify:track:66ZcOcouenzZEnzTJvoFmH,66ZcOcouenzZEnzTJvoFmH,The Sweet Escape,75
spotify:track:3zFBsXhCmBIrupI5MPOKR4,3zFBsXhCmBIrupI5MPOKR4,Life Happens,58
spotify:track:4rXLjWdF2ZZpXCVTfWcshS,4rXLjWdF2ZZpXCVTfWcshS,fukumean,89
spotify:track:1tkMs9wDPknQ3ZHcKDw1ES,1tkMs9wDPknQ3ZHcKDw1ES,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),79
spotify:track:6LOZws7T3jqZz78unPgFF9,6LOZws7T3jqZz78unPgFF9,Dead To Me,78
spotify:track:6XkuklKiHYVTlVvWlTgQYP,6XkuklKiHYVTlVvWlTgQYP,Erase Me - Main,71
spotify:track:6Bs8KdjRAuv3rzCIdchXwu,6Bs8KdjRAuv3rzCIdchXwu,Enter Galactic (Love Connection Part I),49
spotify:track:4iCKHGl4ij4YMwFrUZLGEQ,4iCKHGl4ij4YMwFrUZLGEQ,Kill The Lights (with Nile Rodgers) - Audien Remix,56
spotify:track:3XKIUb7HzIF1Vu9usunMzc,3XKIUb7HzIF1Vu9usunMzc,Maria Maria (feat. The Product G&B),76
spotify:track:1LeItUMezKA1HdCHxYICed,1LeItUMezKA1HdCHxYICed,Say My Name,65
